targetId,totalPeers,respondedPeers,hitPeers,hit_rate,source,ipv4
469afc6f33e63d33290761ba75d63562a744384e228c2f7c893b99484639f638877319e5d83a4238dd6c260fb1512d2e5f5b17c14b78939c806c8dc74534005a,5562,589,18,3.06%,,141.95.83.192
22ffbe500c3cff7b3a5adf144ba7f570deb819d3a2beb92e5f524140648c8ddeefab7c32f07e18571499479e5608ea270eb61508b37c255608cd6ab36ce4ebf8,5562,786,16,2.04%,,8.217.215.241
7a286525712d7a23538ba2b8932bc2d1cc4961178c0c59c31d9450fcb1423522e89f2ed49a6f845dc46474eed5c3e4bf348a4f819624665d048a7cf0d49197c4,5562,784,15,1.91%,,142.234.33.228
81085476e5909d54c817638c84fde5e66a509af6e1533d1516c0a1b0b20237a98e762a777988bb09d6c563105b5156fde72320defa0b6ccb36d1323e092bd056,5562,786,13,1.65%,,Not Found
30292d5ded98d17b27c9f4153c2bb6f6d7878840b1d86dc4b349d2aa86c9345269f09b8ca2950a923fff4996521e3674c4c76080b59e769a11804e98aa0ec456,5562,599,12,2.00%,,188.42.128.220
417fe0fbdba6bafafff2ad485f494cfa6ff9b1b1db6c0d1a54d98363a46e7cf15bbe7f2030a37e1ec62e2297e06e7bbdf44ba01bcd7f3df79d6cbb775b71417d,5562,597,11,1.84%,,118.175.0.235
f3bad3a8ed0dbb8f857c3c7b236142a3944c0997af16c93e4bf5880a66e0ebc2631c978a4026bc3e2152ca2082f9cad4ea728aff334292e2003d0a3d762bab32,5562,598,4,0.67%,,142.91.158.156
c98b001c1c7527487c80acebd018d87a44a5748dff65f2f42296a998b56c1c1ad37c582c4ca3c898bb96690297105479f0278c31cb2cc7de72a487999041d73a,5562,786,3,0.38%,,195.160.221.163
7f2e8312b9c075a629d8c6ff6baeb15abe54fdefa0996e2177b83d75e0a8b9f6707a1bf92016fc0a3af7b4cf5ee9506ea9c39c5d8491a4bc01a104af93592fdd,5562,600,2,0.33%,,195.160.221.196
6e506d4528d0c06d7f1824dee95cb2381cbb4f28e7184b9eb1554d11951973cd12680a91a21c4488044c68dbd2b9a5c063c11f943f364c875fbdda8503f9d99d,5562,778,1,0.13%,,Not Found
d23c399a7b4dc57fd0f1d9068c5f23663ae6126ec28f2ba1392df58035eb6de5dc26eef927eec40e5049e9249cddad8f20c0a32fc25871021e2f2d20b722c16e,5562,786,1,0.13%,api.trongrid.io,Not Found
c6d96ccc5be4debb951b176ba395353714b607105ad81c2f7da480f6d40b031da1de4b954c8186baa95fa7bd4a45bc6cf980a38967c7726bf0f68ec68b2ed2ce,5562,604,0,0.00%,,Not Found
